target:4999997,active:0,hitrate:0.0,duration:1166.5877377986908

#2a10:ccc2::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1058.8579185009003

#240a:a2bf::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1166.746459722519

#2604:fec0::/32,budget:5000000
target:4999996,active:686,hitrate:0.00013720010976008782,duration:1098.712087392807

#2001:559:14b::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1161.8644828796387

#2804:2000:4000::/36,budget:5000000
target:4999991,active:6,hitrate:1.200002160003888e-06,duration:1084.6260330677032

#2801:1ac::/48,budget:5000000
target:4999997,active:2,hitrate:4.00000240000144e-07,duration:1158.3916249275208

#2803:dfa0:c000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1186.4180681705475

#2408:84e2:480::/42,budget:5000000
